State,MP,Constituency,Work Description,Date,Amount,Stage
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,497185.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,500000.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,450000.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,1500000.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,398009.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,399104.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,396154.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,400000.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,495627.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,398955.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,399304.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,495031.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,247583.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,250000.0,RECOMMENDED
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,498091.0,RECOMMENDED
Bihar,Pradeep Kumar Singh,ARARIA,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,448127.0,RECOMMENDED
West Bengal,Dr Sukanta Majumdar,BALURGHAT,Phage 2: Concrete R.C.C. bridge,2024-07-13,1602957.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khnagela game mota faliya ma c.c.road nu kam,2024-07-17,250000.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,242105.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khapariya game damor faliya ma c.c.road nu kam,2024-07-17,250000.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),agavada game gamtal sarpanch faliya ma c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),dashla game sarkari prathmik shala ma shed nu kam,2024-07-17,245098.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khapariiya game damor simada faliya faliya ma c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,2024-07-17,250000.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),moti kharaj game dhanthadi c.c.road nu kam,2024-07-17,245098.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,2024-07-17,245826.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nasirpur game mavi faliya ma samuhik kuva nu kam,2024-07-17,245826.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,245697.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,2024-07-17,250000.0,RECOMMENDED
Gujarat,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),simaliya khurd game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,250000.0,RECOMMENDED
